,SurahNumber,SurahName,Disjoined letters,Nbr of Ayat,Nbr of Letters,Nbr of words,Aya number,Arabic Text,Transliterated Text
0,1,Al-Fatiha, ,7,19,4,1,بسم الله الرحمن الرحيم,bsm allh alr7mn alr7ym
1,1,Al-Fatiha, ,7,18,4,2,الحمد لله رب العالمين,al7md llh rb al3almyn
2,1,Al-Fatiha, ,7,12,2,3,الرحمن الرحيم,alr7mn alr7ym
3,1,Al-Fatiha, ,7,12,3,4,مالك يوم الدين,malk ywm aldyn
4,1,Al-Fatiha, ,7,19,4,5,إياك نعبد وإياك نستعين,ayak n3bd wayak nst3yn
5,1,Al-Fatiha, ,7,19,3,6,اهدنا الصراط المستقيم,ahdna alcra6 almst9ym
6,1,Al-Fatiha, ,7,44,9,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,cra6 al1yn an3mt 3lyhm gyr almg8wb 3lyhm wla al8alyn
7,2,Al-Baqara,alm,286,22,5,1,بسم الله الرحمن الرحيم الم,bsm allh alr7mn alr7ym alm
8,2,Al-Baqara, ,286,27,7,2,ذلك الكتاب لا ريب فيه هدى للمتقين,1lk alktab la ryb fyh hdu llmt9yn
9,2,Al-Baqara, ,286,47,8,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,al1yn yamnwn balgyb wy9ymwn alclat wmma rz9nahm ynf9wn
10,2,Al-Baqara, ,286,52,12,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,wal1yn yamnwn bma anzl alyk wma anzl mn 9blk wbala5rt hm yw9nwn
11,2,Al-Baqara, ,286,33,8,5,أولئك على هدى من ربهم وأولئك هم المفلحون,awlak 3lu hdu mn rbhm wawlak hm almfl7wn
12,2,Al-Baqara, ,286,47,11,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,an al1yn kfrwa swaa 3lyhm aan1rthm am lm tn1rhm la yamnwn
13,2,Al-Baqara, ,286,53,12,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,5tm allh 3lu 9lwbhm w3lu sm3hm w3lu abcarhm g2awt wlhm 31ab 34ym
14,2,Al-Baqara, ,286,47,11,8,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين,wmn alnas mn y9wl amna ballh wbalywm ala5r wma hm bmamnyn
15,2,Al-Baqara, ,286,49,10,9,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون,y5ad3wn allh wal1yn amnwa wma y5d3wn ala anfshm wma y23rwn
16,2,Al-Baqara, ,286,51,12,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,fy 9lwbhm mr8 fzadhm allh mr8a wlhm 31ab alym bma kanwa yk1bwn
17,2,Al-Baqara, ,286,43,11,11,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,wa1a 9yl lhm la tfsdwa fy alar8 9alwa anma n7n mcl7wn
18,2,Al-Baqara, ,286,29,7,12,ألا إنهم هم المفسدون ولكن لا يشعرون,ala anhm hm almfsdwn wlkn la y23rwn
19,2,Al-Baqara, ,286,77,19,13,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون,wa1a 9yl lhm amnwa kma amn alnas 9alwa anamn kma amn alsfhaa ala anhm hm alsfhaa wlkn la y3lmwn
20,2,Al-Baqara, ,286,73,16,14,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون,wa1a l9wa al1yn amnwa 9alwa amna wa1a 5lwa alu 2ya6ynhm 9alwa ana m3km anma n7n msthzawn
21,2,Al-Baqara, ,286,34,7,15,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون,allh ysthza bhm wymdhm fy 6gyanhm y3mhwn
22,2,Al-Baqara, ,286,57,11,16,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين,awlak al1yn a2trwa al8lalt balhdu fma rb7t tjarthm wma kanwa mhtdyn
23,2,Al-Baqara, ,286,72,17,17,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون,m0lhm km0l al1y astw9d nara flma a8aat ma 7wlh 1hb allh bnwrhm wtrkhm fy 4lmat la ybcrwn
24,2,Al-Baqara, ,286,19,6,18,صم بكم عمي فهم لا يرجعون,cm bkm 3my fhm la yrj3wn
25,2,Al-Baqara, ,286,86,19,19,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت والله محيط بالكافرين,aw kcyb mn alsmaa fyh 4lmat wr3d wbr9 yj3lwn acab3hm fy a1anhm mn alcwa39 71r almwt wallh m7y6 balkafryn
26,2,Al-Baqara, ,286,102,25,20,يكاد البرق يخطف أبصارهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصارهم إن الله على كل شيء قدير,ykad albr9 y56f abcarhm klma a8aa lhm m2wa fyh wa1a a4lm 3lyhm 9amwa wlw 2aa allh l1hb bsm3hm wabcarhm an allh 3lu kl 2ya 9dyr
27,2,Al-Baqara, ,286,53,12,21,يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,ya ayha alnas a3bdwa rbkm al1y 5l9km wal1yn mn 9blkm l3lkm tt9wn
28,2,Al-Baqara, ,286,99,23,22,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون,al1y j3l lkm alar8 fra2a walsmaa bnaa wanzl mn alsmaa maa fa5rj bh mn al0mrat rz9a lkm fla tj3lwa llh andada wantm t3lmwn
29,2,Al-Baqara, ,286,78,20,23,وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين,wan kntm fy ryb mma nzlna 3lu 3bdna fatwa bswrt mn m0lh wad3wa 2hdaakm mn dwn allh an kntm cad9yn
30,2,Al-Baqara, ,286,66,13,24,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة أعدت للكافرين,fan lm tf3lwa wln tf3lwa fat9wa alnar alty w9wdha alnas wal7jart a3dt llkafryn
31,2,Al-Baqara, ,286,145,34,25,وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل وأتوا به متشابها ولهم فيها أزواج مطهرة وهم فيها خالدون,wb2r al1yn amnwa w3mlwa alcal7at an lhm jnat tjry mn t7tha alanhar klma rz9wa mnha mn 0mrt rz9a 9alwa h1a al1y rz9na mn 9bl watwa bh mt2abha wlhm fyha azwaj m6hrt whm fyha 5aldwn
32,2,Al-Baqara, ,286,155,39,26,إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها فأما الذين آمنوا فيعلمون أنه الحق من ربهم وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به إلا الفاسقين,an allh la yst7yy an y8rb m0la ma b3w8t fma fw9ha fama al1yn amnwa fy3lmwn anh al79 mn rbhm wama al1yn kfrwa fy9wlwn ma1a arad allh bh1a m0la y8l bh k0yra wyhdy bh k0yra wma y8l bh ala alfas9yn
33,2,Al-Baqara, ,286,82,20,27,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما أمر الله به أن يوصل ويفسدون في الأرض أولئك هم الخاسرون,al1yn yn98wn 3hd allh mn b3d my0a9h wy963wn ma amr allh bh an ywcl wyfsdwn fy alar8 awlak hm al5asrwn
34,2,Al-Baqara, ,286,60,13,28,كيف تكفرون بالله وكنتم أمواتا فأحياكم ثم يميتكم ثم يحييكم ثم إليه ترجعون,kyf tkfrwn ballh wkntm amwata fa7yakm 0m ymytkm 0m y7yykm 0m alyh trj3wn
35,2,Al-Baqara, ,286,70,19,29,هو الذي خلق لكم ما في الأرض جميعا ثم استوى إلى السماء فسواهن سبع سماوات وهو بكل شيء عليم,hw al1y 5l9 lkm ma fy alar8 jmy3a 0m astwu alu alsmaa fswahn sb3 smawat whw bkl 2ya 3lym
36,2,Al-Baqara, ,286,111,28,30,وإذ قال ربك للملائكة إني جاعل في الأرض خليفة قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال إني أعلم ما لا تعلمون,wa1 9al rbk llmlaakt any ja3l fy alar8 5lyft 9alwa atj3l fyha mn yfsd fyha wysfk aldmaa wn7n nsb7 b7mdk wn9ds lk 9al any a3lm ma la t3lmwn
37,2,Al-Baqara, ,286,70,15,31,وعلم آدم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هؤلاء إن كنتم صادقين,w3lm adm alasmaa klha 0m 3r8hm 3lu almlaakt f9al anbawny basmaa halaa an kntm cad9yn
38,2,Al-Baqara, ,286,48,12,32,قالوا سبحانك لا علم لنا إلا ما علمتنا إنك أنت العليم الحكيم,9alwa sb7ank la 3lm lna ala ma 3lmtna ank ant al3lym al7kym
39,2,Al-Baqara, ,286,101,23,33,قال يا آدم أنبئهم بأسمائهم فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون,9al ya adm anbahm basmaahm flma anbahm basmaahm 9al alm a9l lkm any a3lm gyb alsmawat walar8 wa3lm ma tbdwn wma kntm tktmwn
40,2,Al-Baqara, ,286,63,13,34,وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى واستكبر وكان من الكافرين,wa1 9lna llmlaakt asjdwa ladm fsjdwa ala ablys abu wastkbr wkan mn alkafryn
41,2,Al-Baqara, ,286,80,19,35,وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين,w9lna ya adm askn ant wzwjk aljnt wkla mnha rgda 7y0 2atma wla t9rba h1h al2jrt ftkwna mn al4almyn
42,2,Al-Baqara, ,286,86,19,36,فأزلهما الشيطان عنها فأخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم في الأرض مستقر ومتاع إلى حين,fazlhma al2y6an 3nha fa5rjhma mma kana fyh w9lna ahb6wa b38km lb38 3dw wlkm fy alar8 mst9r wmta3 alu 7yn
43,2,Al-Baqara, ,286,43,11,37,فتلقى آدم من ربه كلمات فتاب عليه إنه هو التواب الرحيم,ftl9u adm mn rbh klmat ftab 3lyh anh hw altwab alr7ym
44,2,Al-Baqara, ,286,68,17,38,قلنا اهبطوا منها جميعا فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون,9lna ahb6wa mnha jmy3a fama yatynkm mny hdu fmn tb3 hday fla 5wf 3lyhm wla hm y7znwn
45,2,Al-Baqara, ,286,51,10,39,والذين كفروا وكذبوا بآياتنا أولئك أصحاب النار هم فيها خالدون,wal1yn kfrwa wk1bwa bayatna awlak ac7ab alnar hm fyha 5aldwn
46,2,Al-Baqara, ,286,69,14,40,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون,ya bny asraayl a1krwa n3mty alty an3mt 3lykm wawfwa b3hdy awf b3hdkm wayay farhbwn
